,target,account,affiliated
158,Hillary Clinton,texasman2008,False
159,Hillary Clinton,AmyMek,False
160,Hillary Clinton,ca_hillary,False
161,Hillary Clinton,mcirelli92,False
162,Hillary Clinton,clairecmc,False
163,Hillary Clinton,RosieGray,False
164,Hillary Clinton,ClintonGlobal,True
165,Hillary Clinton,Molls30,False
166,Hillary Clinton,SCOTUS_Scalia,False
167,Hillary Clinton,GideonHenry,False
168,Hillary Clinton,vacanti,False
169,Hillary Clinton,samglover,False
170,Hillary Clinton,muradguderian,False
171,Hillary Clinton,TRPhrophet,False
172,Hillary Clinton,RamblingMother,False
173,Hillary Clinton,PolitiBunny,False
174,Hillary Clinton,Seja75,False
175,Hillary Clinton,hubbit,False
176,Hillary Clinton,JewboyDonny,False
177,Hillary Clinton,thegirlwithfood,False
178,Hillary Clinton,ZerlinaMaxwell,False
179,Hillary Clinton,IamTheWindowMan,False
180,Hillary Clinton,occupycorruptDC,False
181,Hillary Clinton,GerryConnolly,False
182,Hillary Clinton,JerseyKidPicks,False
183,Hillary Clinton,AGMarkHerring,False
184,Hillary Clinton,vademocrats,False
185,Hillary Clinton,BobbyJindal,False
186,Hillary Clinton,kimkennedy4,False
187,Hillary Clinton,LaneLewis,False
188,Hillary Clinton,Jeanelynn,False
189,Hillary Clinton,amyklobuchar,False
190,Hillary Clinton,TheCenterLV,False
191,Hillary Clinton,BuffaloBill71,False
192,Hillary Clinton,AramisFraino,False
193,Hillary Clinton,therealjenappel,False
194,Hillary Clinton,HRCSnowShovel,False
195,Hillary Clinton,dedicated_to_it,False
196,Hillary Clinton,ARForHillary,False
197,Hillary Clinton,LaureneDiCillo,False
198,Hillary Clinton,NBCNews,False
199,Hillary Clinton,dl34l,False
200,Hillary Clinton,DRUDGE_REPORT,False
201,Hillary Clinton,philadper2014,False
202,Hillary Clinton,LouiseKatina,False
203,Hillary Clinton,debaterlife,False
204,Hillary Clinton,ReCorwin,False
205,Hillary Clinton,Chefs4Hillary,False
206,Hillary Clinton,LindaSuhler,False
207,Hillary Clinton,foxnation,False
208,Hillary Clinton,GREG61032,False
209,Hillary Clinton,Ash_Bell__,False
210,Hillary Clinton,JamesCarville,False
211,Hillary Clinton,ladygaga,False
212,Hillary Clinton,koolkat14215,False
213,Hillary Clinton,Raging_D_RTR,False
214,Hillary Clinton,CrimsonHotMess,False
215,Hillary Clinton,lbush34,False
216,Hillary Clinton,fuzislippers,False
217,Hillary Clinton,KLSouth,False
218,Hillary Clinton,gdebenedetti,False
219,Hillary Clinton,LibtardLimbaugh,False
220,Hillary Clinton,Mex38Tex,False
221,Hillary Clinton,Reince,False
222,Hillary Clinton,ghostseven77,False
223,Hillary Clinton,WestonMartinez,False
224,Hillary Clinton,crazytas62,False
225,Hillary Clinton,CidEloisa,False
226,Hillary Clinton,DiggingLamb,False
227,Hillary Clinton,MartinOMalley,False
228,Hillary Clinton,moser_kristen,False
229,Hillary Clinton,WhoopiGoldberg,False
230,Hillary Clinton,Univision,False
231,Hillary Clinton,dhz26,False
232,Hillary Clinton,WNTonight,False
233,Hillary Clinton,Tony_Tickets,False
234,Hillary Clinton,foxandfriends,False
235,Hillary Clinton,awj9009,False
236,Hillary Clinton,RickSantorum,False
237,Hillary Clinton,voxdotcom,False
238,Hillary Clinton,BDabs888,False
239,Hillary Clinton,MalachiNorris,False
240,Hillary Clinton,AndreaTantaros,False
241,Hillary Clinton,PhilGlutting,False
242,Hillary Clinton,megadreamin,False
243,Hillary Clinton,marcorubio,False
244,Hillary Clinton,TeamMarco,False
245,Hillary Clinton,LeahR77,False
246,Hillary Clinton,CorrectRecord,False
247,Hillary Clinton,Logan_RTW,False
248,Hillary Clinton,asphaultangel13,False
249,Hillary Clinton,crousselle,False
250,Hillary Clinton,Jami_USA,False
251,Hillary Clinton,HillaryHaikus,False
252,Hillary Clinton,PhxKen,False
253,Hillary Clinton,oliviawilde,False
254,Hillary Clinton,robin45208,False
255,Hillary Clinton,C4Constitution,False
256,Hillary Clinton,DavidCornDC,False
257,Hillary Clinton,pikester45,False
258,Hillary Clinton,TheLastWord,False
259,Hillary Clinton,kimfrederi,False
260,Hillary Clinton,HlLLARY,False
261,Hillary Clinton,ToniforAsm,False
262,Hillary Clinton,businessinsider,False
263,Hillary Clinton,liars_never_win,False
264,Hillary Clinton,Debber66,False
265,Hillary Clinton,andersonDrLJA,False
266,Hillary Clinton,HillaryforNV,False
267,Hillary Clinton,MissLynnetteH,False
268,Hillary Clinton,Waitingforahero,False
269,Hillary Clinton,hillaryclinton,False
270,Hillary Clinton,AP,False
271,Hillary Clinton,davidaxelrod,False
272,Hillary Clinton,NormanSie,False
273,Hillary Clinton,n2toom,False
274,Hillary Clinton,AaronBlakeWP,False
275,Hillary Clinton,WashTimes,False
276,Hillary Clinton,docdebags,False
277,Hillary Clinton,awelab1956,False
278,Hillary Clinton,BuzzFeedAndrew,False
279,Hillary Clinton,BuzzFeedNews,False
280,Hillary Clinton,brithume,False
281,Hillary Clinton,CoachDLG515,False
282,Hillary Clinton,Retired36,False
283,Hillary Clinton,jimlibertarian,False
284,Hillary Clinton,peddoc63,False
285,Hillary Clinton,MaydnUSA,False
286,Hillary Clinton,c5hardtop1999,False
287,Hillary Clinton,surfermom77,False
288,Hillary Clinton,SMolloyDVM,False
289,Hillary Clinton,RNRNewYork,False
290,Hillary Clinton,BossHoggUSMC,False
291,Hillary Clinton,JohnFromCranber,False
292,Hillary Clinton,SheriffClarke,False
293,Hillary Clinton,jhewitt1280,False
294,Hillary Clinton,SpeakerBoehner,False
295,Hillary Clinton,HouseBenghazi,False
296,Hillary Clinton,TGowdySC,False
297,Hillary Clinton,AutumnNAlston,False
298,Hillary Clinton,JonathanDKF,False
299,Hillary Clinton,McCollumMike,False
300,Hillary Clinton,HillaryforSC,True
301,Hillary Clinton,hughhewitt,False
302,Hillary Clinton,msnbc,False
303,Hillary Clinton,RobBently,False
304,Hillary Clinton,JonahNRO,False
305,Hillary Clinton,maddow,False
306,Hillary Clinton,AnnCoulter,False
307,Hillary Clinton,MrDane1982,False
308,Hillary Clinton,mizerello,False
309,Hillary Clinton,meetthepress,False
310,Hillary Clinton,GovernorPerry,False
311,Hillary Clinton,AnitaFinlay,False
312,Hillary Clinton,chicagotribune,False
313,Hillary Clinton,betheljd,False
314,Hillary Clinton,Network_Citizen,False
315,Hillary Clinton,YoungBLKRepub,False
316,Hillary Clinton,bobwilsonn,False
317,Hillary Clinton,kin2souls,False
318,Hillary Clinton,ChristiChat,False
319,Hillary Clinton,RedStateJake,False
320,Hillary Clinton,ResistTyranny,False
321,Hillary Clinton,weknowwhatsbest,False
322,Hillary Clinton,randyprine,False
323,Hillary Clinton,fabiaceae,False
324,Hillary Clinton,Shy_Buffy,False
325,Hillary Clinton,FrankCraig,False
326,Hillary Clinton,skzdalimit,False
327,Hillary Clinton,RAM0018,False
328,Hillary Clinton,Salon,False
329,Hillary Clinton,BreeNewsome,False
330,Hillary Clinton,chrislhayes,False
331,Hillary Clinton,popcornreel,False
332,Hillary Clinton,awadgolf,False
333,Hillary Clinton,Crossbearer1956,False
334,Hillary Clinton,ScottSaxman1,False
335,Hillary Clinton,foxnewspolitics,False
336,Hillary Clinton,dartmouth,False
337,Hillary Clinton,HillaryforNH,False
338,Hillary Clinton,Ered604,False
339,Hillary Clinton,kryptickaos_,False
340,Hillary Clinton,ZekeJMiller,False
341,Hillary Clinton,RedHatGeek,False
342,Hillary Clinton,DemocratGuide,False
343,Hillary Clinton,Reuters,False
344,Hillary Clinton,JOEL5H,False
345,Hillary Clinton,wonderfullone,False
346,Hillary Clinton,Bipartisanism,False
347,Hillary Clinton,MittRomney,False
348,Hillary Clinton,frodofied,False
349,Hillary Clinton,roughcountry451,False
350,Hillary Clinton,anthonyweiner,False
351,Hillary Clinton,clantro,False
352,Hillary Clinton,TrucksHorsesDog,False
353,Hillary Clinton,TsarRhys,False
354,Hillary Clinton,Ba68scgal,False
355,Hillary Clinton,MyOTRadventure,False
356,Hillary Clinton,NumbersMuncher,False
357,Hillary Clinton,adamplevy,False
358,Hillary Clinton,PoliticalShort,False
359,Hillary Clinton,jlconnell66,False
360,Hillary Clinton,TarekFatah,False
361,Hillary Clinton,JessieJaneDuff,False
362,Hillary Clinton,akawhit1,False
363,Hillary Clinton,HillaryClinton,True
364,Hillary Clinton,POTUS,False
365,Hillary Clinton,billclinton,True
366,Hillary Clinton,GOP,False
367,Hillary Clinton,BarackObama,False
368,Hillary Clinton,realDonaldTrump,False
369,Hillary Clinton,politico,False
370,Hillary Clinton,FoxNews,False
371,Hillary Clinton,BernieSanders,False
372,Hillary Clinton,HillaryforIA,True
373,Hillary Clinton,thehill,False
374,Hillary Clinton,tedcruz,False
375,Hillary Clinton,TheDemocrats,True
376,Hillary Clinton,JebBush,False
377,Hillary Clinton,ChrisChristie,False
378,Hillary Clinton,theblaze,False
379,Hillary Clinton,FutureTXLeader,False
380,Hillary Clinton,jstines3,False
381,Hillary Clinton,pamnsc,False
382,Hillary Clinton,DrMartyFox,False
383,Hillary Clinton,Chris_1791,False
384,Hillary Clinton,StateDept,False
385,Hillary Clinton,seanhannity,False
386,Hillary Clinton,ClintonFdn,True
387,Hillary Clinton,RandPaul,False
388,Hillary Clinton,readyforHRC,True
389,Hillary Clinton,MaryMorientes,False
390,Hillary Clinton,ChelseaClinton,True
391,Hillary Clinton,greta,False
392,Hillary Clinton,WoodenThreat,False
393,Hillary Clinton,larryelder,False
394,Hillary Clinton,Callisto1947,False
395,Hillary Clinton,petefrt,False
396,Hillary Clinton,TODAYshow,False
397,Hillary Clinton,CBSThisMorning,False
398,Hillary Clinton,gerfingerpoken2,False
399,Hillary Clinton,NRO,False
400,Hillary Clinton,johnpodesta,False
401,Hillary Clinton,megynkelly,False
402,Hillary Clinton,HillaryIn2016,True
403,Hillary Clinton,gerfingerpoken,False
404,Hillary Clinton,jjauthor,False
405,Hillary Clinton,CarmineZozzora,False
406,Hillary Clinton,nytimes,False
407,Hillary Clinton,TIMENOUT,False
408,Hillary Clinton,GovChristie,False
409,Hillary Clinton,AdamParkhomenko,False
410,Hillary Clinton,Lawrence,False
411,Hillary Clinton,JW4Hillary,True
412,Hillary Clinton,BretBaier,False
413,Hillary Clinton,JoeBiden,False
414,Hillary Clinton,SenSanders,False
415,Hillary Clinton,ProudInfidel33,False
416,Hillary Clinton,sunbeltgirl,False
417,Hillary Clinton,Babbsgirl2,False
418,Hillary Clinton,anniekarni,False
419,Hillary Clinton,oreillyfactor,False
420,Hillary Clinton,joanwalsh,False
421,Hillary Clinton,danmericaCNN,False
422,Hillary Clinton,vendettajane,False
423,Hillary Clinton,redsteeze,False
424,Hillary Clinton,maggieNYT,False
425,Hillary Clinton,GunnJessica,False
426,Hillary Clinton,newsbusters,False
427,Hillary Clinton,dnewhauser,False
428,Hillary Clinton,AmbCathyRussell,False
429,Hillary Clinton,AdamSmith_USA,False
430,Hillary Clinton,GovernorOMalley,False
431,Hillary Clinton,HuffPostPol,False
432,Hillary Clinton,NACLA,False
433,Hillary Clinton,BrasilWire,False
434,Hillary Clinton,CheekyGent,False
435,Hillary Clinton,ChuckCJohnson,False
436,Hillary Clinton,NicolaSturgeon,False
437,Hillary Clinton,ReformedBroker,False
438,Hillary Clinton,StopHillaryPAC,False
439,Hillary Clinton,lajouetreine,False
440,Hillary Clinton,KarrattiPaul,False
441,Hillary Clinton,trscoop,False
442,Hillary Clinton,evanperez,False
443,Hillary Clinton,hale_razor,False
444,Hillary Clinton,Bluesaloon,False
445,Hillary Clinton,ProBirdRights,False
446,Hillary Clinton,JSavoly,False
447,Hillary Clinton,JusticeWillett,False
448,Hillary Clinton,senna1,False
449,Hillary Clinton,KirillWasHere,False
450,Hillary Clinton,KoriWasinger,False
451,Hillary Clinton,JButtawipo,False
452,Hillary Clinton,MaxTollensJr,False
453,Hillary Clinton,SLessard,False
454,Hillary Clinton,bristola48,False
455,Hillary Clinton,AlciniaH,False
456,Hillary Clinton,Mahogany1992,False
457,Hillary Clinton,stphil,False
458,Hillary Clinton,MzDivah67,False
459,Hillary Clinton,Progress4Ohio,False
460,Hillary Clinton,graceslick77,False
461,Hillary Clinton,AuntLulie,False
462,Hillary Clinton,deejayedee,False
463,Hillary Clinton,Jeff_Nichols_82,False
464,Hillary Clinton,WhiteHouse,False
465,Hillary Clinton,AlyssSmithh,False
466,Hillary Clinton,SenWarren,False
467,Hillary Clinton,TX_1,False
468,Hillary Clinton,politicalmath,False
469,Hillary Clinton,ATikSalt,False
470,Hillary Clinton,tjhansen,False
471,Hillary Clinton,owillis,False
472,Hillary Clinton,FoundersGirl,False
473,Hillary Clinton,Artist_Angie,False
474,Hillary Clinton,MauraReynolds,False
475,Hillary Clinton,SoCaliMilitia1,False
476,Hillary Clinton,CzarofFreedom,False
477,Hillary Clinton,ConservatveGurl,False
478,Hillary Clinton,LifeNewsHQ,False
479,Hillary Clinton,TruthRevolt,False
480,Hillary Clinton,RepSusanDavis,False
