,target,account,affiliated
443,Hillary Clinton,hale_razor,False
455,Hillary Clinton,AlciniaH,False
456,Hillary Clinton,Mahogany1992,False
457,Hillary Clinton,stphil,False
458,Hillary Clinton,MzDivah67,False
459,Hillary Clinton,Progress4Ohio,False
460,Hillary Clinton,graceslick77,False
461,Hillary Clinton,AuntLulie,False
462,Hillary Clinton,deejayedee,False
444,Hillary Clinton,Bluesaloon,False
442,Hillary Clinton,evanperez,False
422,Hillary Clinton,vendettajane,False
431,Hillary Clinton,HuffPostPol,False
423,Hillary Clinton,redsteeze,False
424,Hillary Clinton,maggieNYT,False
425,Hillary Clinton,GunnJessica,False
426,Hillary Clinton,newsbusters,False
427,Hillary Clinton,dnewhauser,False
428,Hillary Clinton,AmbCathyRussell,False
429,Hillary Clinton,AdamSmith_USA,False
430,Hillary Clinton,GovernorOMalley,False
432,Hillary Clinton,NACLA,False
441,Hillary Clinton,trscoop,False
433,Hillary Clinton,BrasilWire,False
434,Hillary Clinton,CheekyGent,False
435,Hillary Clinton,ChuckCJohnson,False
436,Hillary Clinton,NicolaSturgeon,False
437,Hillary Clinton,ReformedBroker,False
438,Hillary Clinton,StopHillaryPAC,False
439,Hillary Clinton,lajouetreine,False
440,Hillary Clinton,KarrattiPaul,False
549,Hillary Clinton,kimkennedy4,False
552,Hillary Clinton,amyklobuchar,False
551,Hillary Clinton,Jeanelynn,False
671,Hillary Clinton,mizerello,False
3,Hillary Clinton,GOP,False
664,Hillary Clinton,hughhewitt,False
665,Hillary Clinton,msnbc,False
666,Hillary Clinton,RobBently,False
667,Hillary Clinton,JonahNRO,False
668,Hillary Clinton,maddow,False
669,Hillary Clinton,AnnCoulter,False
670,Hillary Clinton,MrDane1982,False
672,Hillary Clinton,meetthepress,False
661,Hillary Clinton,JonathanDKF,False
673,Hillary Clinton,GovernorPerry,False
674,Hillary Clinton,AnitaFinlay,False
675,Hillary Clinton,chicagotribune,False
676,Hillary Clinton,betheljd,False
677,Hillary Clinton,Network_Citizen,False
678,Hillary Clinton,YoungBLKRepub,False
679,Hillary Clinton,bobwilsonn,False
680,Hillary Clinton,kin2souls,False
662,Hillary Clinton,McCollumMike,False
660,Hillary Clinton,AutumnNAlston,False
639,Hillary Clinton,docdebags,False
649,Hillary Clinton,c5hardtop1999,False
641,Hillary Clinton,BuzzFeedAndrew,False
642,Hillary Clinton,BuzzFeedNews,False
643,Hillary Clinton,brithume,False
644,Hillary Clinton,CoachDLG515,False
645,Hillary Clinton,Retired36,False
646,Hillary Clinton,jimlibertarian,False
647,Hillary Clinton,peddoc63,False
648,Hillary Clinton,MaydnUSA,False
650,Hillary Clinton,surfermom77,False
659,Hillary Clinton,TGowdySC,False
651,Hillary Clinton,SMolloyDVM,False
652,Hillary Clinton,RNRNewYork,False
653,Hillary Clinton,BossHoggUSMC,False
654,Hillary Clinton,JohnFromCranber,False
655,Hillary Clinton,SheriffClarke,False
656,Hillary Clinton,jhewitt1280,False
657,Hillary Clinton,SpeakerBoehner,False
658,Hillary Clinton,HouseBenghazi,False
681,Hillary Clinton,ChristiChat,False
682,Hillary Clinton,RedStateJake,False
683,Hillary Clinton,ResistTyranny,False
715,Hillary Clinton,TrucksHorsesDog,False
707,Hillary Clinton,JOEL5H,False
708,Hillary Clinton,wonderfullone,False
709,Hillary Clinton,Bipartisanism,False
710,Hillary Clinton,MittRomney,False
711,Hillary Clinton,frodofied,False
712,Hillary Clinton,roughcountry451,False
713,Hillary Clinton,anthonyweiner,False
714,Hillary Clinton,clantro,False
716,Hillary Clinton,TsarRhys,False
684,Hillary Clinton,weknowwhatsbest,False
717,Hillary Clinton,Ba68scgal,False
718,Hillary Clinton,MyOTRadventure,False
719,Hillary Clinton,NumbersMuncher,False
720,Hillary Clinton,adamplevy,False
721,Hillary Clinton,PoliticalShort,False
722,Hillary Clinton,jlconnell66,False
723,Hillary Clinton,TarekFatah,False
724,Hillary Clinton,JessieJaneDuff,False
706,Hillary Clinton,Reuters,False
705,Hillary Clinton,DemocratGuide,False
704,Hillary Clinton,RedHatGeek,False
703,Hillary Clinton,ZekeJMiller,False
685,Hillary Clinton,randyprine,False
686,Hillary Clinton,fabiaceae,False
687,Hillary Clinton,Shy_Buffy,False
688,Hillary Clinton,FrankCraig,False
689,Hillary Clinton,skzdalimit,False
690,Hillary Clinton,RAM0018,False
691,Hillary Clinton,Salon,False
692,Hillary Clinton,BreeNewsome,False
693,Hillary Clinton,chrislhayes,False
694,Hillary Clinton,popcornreel,False
695,Hillary Clinton,awadgolf,False
696,Hillary Clinton,Crossbearer1956,False
697,Hillary Clinton,ScottSaxman1,False
698,Hillary Clinton,foxnewspolitics,False
699,Hillary Clinton,dartmouth,False
701,Hillary Clinton,Ered604,False
702,Hillary Clinton,kryptickaos_,False
640,Hillary Clinton,awelab1956,False
638,Hillary Clinton,WashTimes,False
584,Hillary Clinton,Reince,False
576,Hillary Clinton,Raging_D_RTR,False
577,Hillary Clinton,CrimsonHotMess,False
578,Hillary Clinton,lbush34,False
579,Hillary Clinton,fuzislippers,False
580,Hillary Clinton,KLSouth,False
581,Hillary Clinton,gdebenedetti,False
582,Hillary Clinton,LibtardLimbaugh,False
583,Hillary Clinton,Mex38Tex,False
585,Hillary Clinton,ghostseven77,False
574,Hillary Clinton,ladygaga,False
586,Hillary Clinton,WestonMartinez,False
587,Hillary Clinton,crazytas62,False
588,Hillary Clinton,CidEloisa,False
589,Hillary Clinton,DiggingLamb,False
590,Hillary Clinton,MartinOMalley,False
591,Hillary Clinton,moser_kristen,False
592,Hillary Clinton,WhoopiGoldberg,False
593,Hillary Clinton,Univision,False
575,Hillary Clinton,koolkat14215,False
573,Hillary Clinton,JamesCarville,False
